EPOCH,TRAIN LOSS,TRAIN ACCURACY,TRAIN PRECISION,TRAIN RECALL,TRAIN DICE,TRAIN IOU,VAL LOSS,VAL ACCURACY,VAL PRECISION,VAL RECALL,VAL DICE,VAL IOU
0,0.4352,0.876,0.8773,0.919,0.8947,0.8203,0.2338,0.9373,0.9545,0.9681,0.9606,0.9248
1,0.3145,0.9067,0.904,0.9447,0.9214,0.8614,0.2165,0.9397,0.955,0.9708,0.9623,0.9279
2,0.2729,0.9161,0.9158,0.9414,0.927,0.8711,0.1938,0.9414,0.9602,0.9671,0.9629,0.9291
3,0.2491,0.9212,0.9187,0.9477,0.9313,0.878,0.1875,0.9428,0.9647,0.9633,0.9632,0.9297
4,0.2289,0.9264,0.9249,0.9489,0.9353,0.8844,0.1773,0.9451,0.9665,0.9644,0.9648,0.9325
