EPOCH,TRAIN LOSS,TRAIN ACCURACY,TRAIN PRECISION,TRAIN RECALL,TRAIN DICE,TRAIN IOU,VAL LOSS,VAL ACCURACY,VAL PRECISION,VAL RECALL,VAL DICE,VAL IOU
0,0.3747,0.8933,0.9067,0.9224,0.9092,0.8434,0.3683,0.8839,0.87,0.9577,0.9096,0.8446
1,0.2633,0.9217,0.9243,0.9501,0.9353,0.8831,0.3667,0.8839,0.8658,0.9666,0.911,0.846
2,0.2325,0.9292,0.9361,0.9474,0.9404,0.8918,0.3472,0.8868,0.8676,0.9738,0.9138,0.8523
3,0.2184,0.9323,0.9322,0.9554,0.9428,0.896,0.3248,0.8941,0.8816,0.9522,0.9138,0.8554
4,0.2135,0.9331,0.9353,0.9509,0.942,0.8948,0.2954,0.9035,0.8899,0.9611,0.9223,0.8666
