EPOCH,TRAIN LOSS,TRAIN ACCURACY,TRAIN PRECISION,TRAIN RECALL,TRAIN DICE,TRAIN IOU,VAL LOSS,VAL ACCURACY,VAL PRECISION,VAL RECALL,VAL DICE,VAL IOU
0,0.4582,0.8662,0.8616,0.9324,0.8923,0.8182,0.2349,0.947,0.955,0.9542,0.9541,0.9131
1,0.2592,0.9141,0.9123,0.9493,0.9291,0.8743,0.2141,0.9428,0.9537,0.949,0.9503,0.9067
2,0.2471,0.918,0.9224,0.9451,0.9316,0.8799,0.2118,0.9441,0.9574,0.9482,0.9515,0.9088
3,0.2141,0.9303,0.9376,0.9464,0.9406,0.8935,0.2159,0.938,0.9537,0.941,0.9455,0.8993
4,0.2471,0.918,0.9224,0.9451,0.9316,0.8799,0.2118,0.9441,0.9574,0.9482,0.9515,0.9088
