EPOCH,TRAIN LOSS,TRAIN ACCURACY,TRAIN PRECISION,TRAIN RECALL,TRAIN DICE,TRAIN IOU,VAL LOSS,VAL ACCURACY,VAL PRECISION,VAL RECALL,VAL DICE,VAL IOU
0,0.3552,0.9071,0.9033,0.9671,0.9324,0.8781,0.6688,0.7959,0.8377,0.78,0.7921,0.6679
1,0.2587,0.9231,0.927,0.9619,0.9424,0.8957,0.7324,0.8032,0.8017,0.8363,0.8154,0.7022
2,0.224,0.9312,0.9367,0.96,0.9471,0.9046,0.5364,0.8157,0.8108,0.8212,0.8144,0.694
3,0.1991,0.9376,0.9428,0.9658,0.9525,0.9135,0.5393,0.8265,0.8236,0.8417,0.8314,0.7243
4,0.1785,0.9454,0.9517,0.9637,0.9571,0.9215,0.586,0.8196,0.8028,0.8552,0.827,0.7169
